Symbol,Woche,Jahr,Monat,KW,Quartal,Open_Woche,Close_Woche,High_Woche,Low_Woche,Volume_Woche,Volume_Avg,Rendite_Woche,Vol_Woche,Vol_Annualisiert,Handelstage,Best_Day,Worst_Day
AVGO,2020-04-20 00:00:00,2020,4,17,2,26.0,26.481,26.526,24.68,133409000,26681800.0,0.0185,0.083045,0.589561,5,0.049748,-0.041157
AVGO,2020-04-27 00:00:00,2020,4,18,2,26.435,27.162,27.699,26.412,87826000,21956500.0,0.027501,0.061604,0.437345,4,0.042647,-0.015941
AVGO,2020-04-27 00:00:00,2020,5,18,2,26.6,25.97,26.785,25.82,26836000,26836000.0,-0.023684,,,1,-0.043885,-0.043885
AVGO,2020-05-04 00:00:00,2020,5,19,2,25.921,27.503,27.555,25.532,101230000,20246000.0,0.061032,0.023829,0.169166,5,0.02719,-0.002605
AVGO,2020-05-11 00:00:00,2020,5,20,2,27.337,26.041,27.772,25.475,103104000,20620800.0,-0.047408,0.038108,0.270538,5,0.01311,-0.025236
AVGO,2020-05-18 00:00:00,2020,5,21,2,26.862,27.665,28.131,26.8,96137000,19227400.0,0.029894,0.057559,0.408631,5,0.050382,-0.013923
AVGO,2020-05-25 00:00:00,2020,5,22,2,28.5,29.127,29.2,28.0,92228000,23057000.0,0.022,0.04367,0.310029,4,0.028714,-0.015473
AVGO,2020-06-01 00:00:00,2020,6,23,2,29.042,31.708,32.811,28.737,168172000,33634400.0,0.091798,0.04316,0.306405,5,0.038482,-0.004395
AVGO,2020-06-08 00:00:00,2020,6,24,2,31.75,30.025,31.921,29.273,156719000,31343800.0,-0.054331,0.075573,0.536513,5,0.022128,-0.067579
AVGO,2020-06-15 00:00:00,2020,6,25,2,29.5,30.277,31.912,29.241,172580000,34516000.0,0.026339,0.065946,0.468167,5,0.021803,-0.050014
AVGO,2020-06-22 00:00:00,2020,6,26,2,30.55,30.741,31.744,30.3,115164000,23032800.0,0.006252,0.043561,0.30925,5,0.035572,-0.013909
AVGO,2020-06-29 00:00:00,2020,7,27,3,31.511,31.547,31.938,31.194,32299000,16149500.0,0.001142,0.028282,0.200781,2,0.008762,-0.009125
AVGO,2020-06-29 00:00:00,2020,6,27,2,30.807,31.561,31.707,30.445,39641000,19820500.0,0.024475,0.017566,0.124709,2,0.01882,0.00771
AVGO,2020-07-06 00:00:00,2020,7,28,3,32.0,31.944,32.433,31.255,90239000,18047800.0,-0.00175,0.033454,0.237497,5,0.020599,-0.017786
AVGO,2020-07-13 00:00:00,2020,7,29,3,32.168,31.271,32.353,30.519,81448000,16289600.0,-0.027885,0.031709,0.225112,5,0.01211,-0.025451
AVGO,2020-07-20 00:00:00,2020,7,30,3,31.185,30.579,31.923,30.418,78087000,15617400.0,-0.019432,0.02532,0.179754,5,0.014134,-0.013161
AVGO,2020-07-27 00:00:00,2020,7,31,3,30.83,31.675,31.84,30.6,97160000,19432000.0,0.027408,0.033515,0.237936,5,0.022532,-0.017046
AVGO,2020-08-03 00:00:00,2020,8,32,3,31.8,32.593,33.158,31.728,96738000,19347600.0,0.024937,0.02826,0.200626,5,0.022289,-0.009813
AVGO,2020-08-10 00:00:00,2020,8,33,3,32.422,32.782,33.588,32.276,75011000,15002200.0,0.011104,0.038369,0.272395,5,0.029658,-0.012648
AVGO,2020-08-17 00:00:00,2020,8,34,3,32.951,33.002,33.318,32.5,51142000,10228400.0,0.001548,0.010746,0.076287,5,0.007626,-0.005086
AVGO,2020-08-24 00:00:00,2020,8,35,3,33.201,34.482,34.482,33.114,65121000,13024200.0,0.038583,0.015401,0.109334,5,0.016748,-0.00156
