Symbol,Date,Jahr,Monat,Wochentag,KW,Quartal,Open,High,Low,Close,Volume,Rendite_Tag,Spanne_Pct,Index_100,MA_20,MA_50,MA_200,Vol_20d_Ann,Drawdown_Pct,Vol_Avg_20d
SMCI,2023-05-11,2023,5,4,19,2,13.342,13.747,13.3,13.643,10927000,0.016011,0.033609,577.36,11.5405,10.7857,8.23,1.1509,-0.0058,19381400.0
SMCI,2023-05-12,2023,5,5,19,2,13.881,13.988,13.269,13.45,7929000,-0.014146,0.054186,569.19,11.6672,10.8579,8.2716,1.1551,-0.0199,19304350.0
SMCI,2023-05-15,2023,5,1,20,2,13.6,13.934,13.555,13.784,10019000,0.024833,0.02796,583.33,11.8043,10.938,8.3139,1.1559,0.0,19407750.0
SMCI,2023-05-16,2023,5,2,20,2,13.783,14.75,13.76,14.584,22891000,0.058038,0.071948,617.18,11.9541,11.033,8.3598,1.1599,0.0,19789750.0
SMCI,2023-05-17,2023,5,3,20,2,14.7,15.6,14.7,15.431,27513000,0.058077,0.061225,653.03,12.1765,11.1446,8.4094,1.1425,0.0,20397350.0
SMCI,2023-05-18,2023,5,4,20,2,15.545,16.655,15.545,16.456,32787000,0.066425,0.071406,696.4,12.4593,11.2691,8.4636,1.1459,0.0,21484700.0
SMCI,2023-05-19,2023,5,5,20,2,16.741,17.167,16.024,16.419,27764000,-0.002248,0.07133,694.84,12.7436,11.4003,8.5171,1.1446,-0.0022,22323550.0
SMCI,2023-05-22,2023,5,1,21,2,16.42,16.941,16.255,16.481,17537000,0.003776,0.042202,697.46,13.0747,11.5444,8.5699,1.079,0.0,21082850.0
SMCI,2023-05-23,2023,5,2,21,2,16.291,16.566,15.958,16.191,14375000,-0.017596,0.0381,685.19,13.4179,11.6897,8.6213,1.0498,-0.0176,20716050.0
SMCI,2023-05-24,2023,5,3,21,2,15.963,16.792,15.826,16.762,15512000,0.035266,0.061039,709.35,13.7815,11.84,8.6746,1.0489,0.0,20739500.0
SMCI,2023-05-25,2023,5,4,21,2,19.601,21.341,19.25,20.686,71372000,0.234101,0.108623,875.41,14.3229,12.0702,8.7489,1.2739,0.0,23807800.0
SMCI,2023-05-26,2023,5,5,21,2,20.995,22.771,20.701,21.918,49892000,0.059557,0.099995,927.55,14.8917,12.3141,8.8266,1.2714,0.0,25550550.0
SMCI,2023-05-30,2023,5,2,22,2,22.8,24.299,22.767,23.41,48300000,0.068072,0.06729,990.69,15.5366,12.5913,8.9116,1.2646,0.0,27173300.0
SMCI,2023-05-31,2023,5,3,22,2,22.634,22.756,21.6,22.395,44163000,-0.043358,0.053519,947.74,16.1342,12.8422,8.9909,1.2904,-0.0434,28361000.0
SMCI,2023-06-01,2023,6,4,22,2,22.663,23.249,22.024,23.102,29689000,0.031569,0.055621,977.66,16.6195,13.0877,9.0729,0.9242,-0.0132,25764050.0
SMCI,2023-06-02,2023,6,5,22,2,23.449,23.788,22.02,22.194,27312000,-0.039304,0.080291,939.23,17.0472,13.3065,9.1508,0.9552,-0.0519,26068250.0
SMCI,2023-06-05,2023,6,1,23,2,21.914,22.768,21.702,22.366,19231000,0.00775,0.04912,946.51,17.4794,13.5258,9.2288,0.9547,-0.0446,25846850.0
SMCI,2023-06-06,2023,6,2,23,2,22.1,23.574,22.012,23.315,20715000,0.042431,0.070961,986.67,17.962,13.7705,9.3094,0.9492,-0.0041,26138750.0
SMCI,2023-06-07,2023,6,3,23,2,24.403,26.165,23.7,23.978,44948000,0.028437,0.104008,1014.73,18.4997,14.0282,9.3944,0.9218,0.0,27654350.0
SMCI,2023-06-08,2023,6,4,23,2,24.063,25.969,23.712,25.435,35221000,0.060764,0.095184,1076.39,19.1,14.3314,9.4876,0.9253,0.0,28904850.0
SMCI,2023-06-09,2023,6,5,23,2,26.3,27.018,25.688,26.166,35077000,0.02874,0.051775,1107.32,19.7261,14.6434,9.5846,0.9231,0.0,30112350.0
SMCI,2023-06-12,2023,6,1,24,2,26.47,26.644,24.534,25.865,34685000,-0.011504,0.086003,1094.58,20.3469,14.954,9.6788,0.9213,-0.0115,31450150.0
SMCI,2023-06-13,2023,6,2,24,2,26.085,26.1,23.211,24.424,45205000,-0.055712,0.124467,1033.6,20.8789,15.2294,9.7637,0.9755,-0.0666,33209450.0
